"DETECT_EQUIP_NO","POSITION_NO","BAR_CODE","LOAD_CURRENT","PF","AVE_ERR"
"4","3","3730001000000411800949","05","01","-0.0433"
"4","4","3730001000000411800307","05","01","-0.0400"
"4","6","3730001000000411824884","05","01","-0.0022"
"4","17","3730001000000411800185","05","01","-0.0055"
"3","1","3730001000000411526689","05","01","-0.0066"
"3","2","3730001000000411524760","05","01","+0.1290"
"3","15","3730001000000411525798","05","01","+0.0155"
"3","19","3730001000000411525231","05","01","-0.0311"
"7","21","3730001000000411763619","05","01","-0.0144"
"7","25","3730001000000411758431","05","01","-0.0400"
"7","26","3730001000000411763527","05","01","-0.0122"
"11","20","3730001000000411553043","05","01","+0.0722"
"11","22","3730001000000411549572","05","01","+0.0422"
"11","28","3730001000000411528423","05","01","+0.0278"
"11","30","3730001000000411549510","05","01","+0.0211"
"19","58","3730001000000411660390","05","01","+0.0089"
"11","59","3730001000000411826598","05","01","+0.0422"
"3","15","3730001000000411769727","05","01","+0.0122"
"3","18","3730001000000411727581","05","01","-0.0022"
"3","40","3730001000000411727376","05","01","+0.0122"
"16","22","3730001000000411529208","05","01","+0.0022"
"16","28","3730001000000411515171","05","01","-0.0011"
"16","38","3730001000000411514419","05","01","-0.0166"
"16","44","3730001000000411513672","05","01","0.0000"
"5","6","3730001000000411740924","05","01","+0.0011"
"5","11","3730001000000411739256","05","01","+0.0356"
"5","16","3730001000000411739171","05","01","+0.0378"
"5","38","3730001000000411740511","05","01","+0.0278"
"13","18","3730001000000411858292","05","01","-0.0188"
"16","45","3730001000000411847913","05","01","+0.0489"
"16","51","3730001000000411710873","05","01","+0.0156"
"4","3","3730001000000411606015","05","01","+0.0122"
"4","9","3730001000000411537630","05","01","+0.0189"
"4","10","3730001000000411607272","05","01","+0.0033"
"4","20","3730001000000411639396","05","01","-0.0200"
"13","34","3730001000000411795108","05","01","+0.0355"
"13","50","3730001000000411793272","05","01","-0.0166"
"13","51","3730001000000411779733","05","01","-0.0022"
"13","56","3730001000000411779221","05","01","-0.0278"
"14","1","3730001000000411758059","05","01","+0.0355"
"14","28","3730001000000411760694","05","01","+0.2026"
"14","29","3730001000000411760175","05","01","+0.0589"
"14","40","3730001000000411777685","05","01","+0.0511"
"14","55","3730001000000411743628","05","01","+0.0689"
"7","3","3730001000000411596729","05","01","+0.0277"
"3","32","3730001000000411606664","05","01","+0.0255"
"3","35","3730001000000411564360","05","01","+0.0478"
"3","48","3730001000000411638979","05","01","-0.0177"
"3","55","3730001000000411536640","05","01","+0.0478"
"13","54","3730001000000411522957","05","01","+0.0277"
"13","57","3730001000000411521530","05","01","+0.0355"
"14","23","3730001000000411598303","05","01","+0.0066"
"14","36","3730001000000411591724","05","01","+0.0122"
"10","53","3730001000000411654320","05","01","+0.0122"
"18","25","3730001000000411565817","05","01","+0.0400"
"18","40","3730001000000411611620","05","01","+0.0466"
"18","46","3730001000000411591281","05","01","-0.0111"
"18","48","3730001000000411536169","05","01","+0.0055"
"18","52","3730001000000411540258","05","01","+0.0289"
"14","47","3730001000000411641153","05","01","+0.0811"
